CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,90741,CME ,0,90,227230,11088,129732,8093,64432,14759,7495,52682,27213,17210,19095,2611,16,180111,207128,47119,20102,8683,2335,-1141,1309,-1792,3998,-904,4409,2943,1391,804,400,-10,7541,7987,1142,696,100,4.9,57.1,3.6,28.4,6.5,3.3,23.2,12,7.6,8.4,1.1,0,79.3,91.2,20.7,8.8,110,4,8,6,26,9,12,23,23,14,15,.,.,86,58,21.2,56.3,32.8,65.5,21.1,56,31.3,63.1,"(CONTRACTS OF CAD 100,000)",90741,CME ,90,F10,Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,92741,CME ,0,92,47843,10962,5800,1011,2185,12776,865,21138,5281,1811,0,642,0,37973,28187,9870,19656,2462,3327,-677,83,-404,2476,340,129,-622,229,0,0,0,3704,1829,-1242,633,100,22.9,12.1,2.1,4.6,26.7,1.8,44.2,11,3.8,0,1.3,0,79.4,58.9,20.6,41.1,50,7,.,.,.,15,5,12,9,4,0,.,0,28,33,36.9,20,52.1,30.4,36.8,20,51.6,28.9,"(CONTRACTS OF CHF 125,000)",92741,CME ,92,F10,Combined
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,96742,CME ,0,96,204615,37975,51845,7530,40167,52280,8345,49040,25278,24379,4008,6186,1288,172733,177133,31882,27482,11800,8980,-2862,773,-4782,5235,1212,6179,-577,3115,0,322,253,15730,7470,-3930,4330,100,18.6,25.3,3.7,19.6,25.6,4.1,24,12.4,11.9,2,3,0.6,84.4,86.6,15.6,13.4,124,6,6,8,18,27,18,30,24,24,9,4,.,84,93,30.1,30.1,41,41.5,25.6,26.7,34.9,37.1,"(CONTRACTS OF GBP 62,500)",96742,CME ,96,F10,Combined
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,97741,CME ,0,97,224219,107901,1409,3041,40175,77480,10546,32515,77548,11689,700,1806,64,206631,183583,17588,40636,12101,5980,750,-120,-2493,9261,3702,6316,-1331,780,-2,84,2,14166,13128,-2065,-1027,100,48.1,0.6,1.4,17.9,34.6,4.7,14.5,34.6,5.2,0.3,0.8,0,92.2,81.9,7.8,18.1,139,12,.,9,18,32,17,25,40,18,.,7,.,84,101,41.7,25.8,52.9,37,41.5,25.7,52.3,36.6,"(CONTRACTS OF JPY 12,500,000)",97741,CME ,97,F10,Combined
EURO FX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,99741,CME ,0,99,772128,23782,446621,19905,451419,90294,32157,51155,70826,47102,42181,8626,4750,672451,720281,99677,51847,13005,2538,-13417,1605,-3018,6209,1919,1285,5938,8077,1228,2071,833,14468,13235,-1463,-230,100,3.1,57.8,2.6,58.5,11.7,4.2,6.6,9.2,6.1,5.5,1.1,0.6,87.1,93.3,12.9,6.7,318,15,14,11,114,37,55,38,52,32,32,16,6,240,182,15.3,52.9,24.4,63.6,14.2,52,22.6,61.5,"(CONTRACTS OF EUR 125,000)",99741,CME ,99,F10,Combined
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,232741,CME ,0,232,158867,28559,17826,1511,40178,77566,4871,46929,23393,6814,5192,1092,0,134053,133072,24814,25795,6714,6343,-4785,-73,-4508,3445,672,5618,6472,304,-344,-1333,0,8012,4702,-1298,2012,100,18,11.2,1,25.3,48.8,3.1,29.5,14.7,4.3,3.3,0.7,0,84.4,83.8,15.6,16.2,92,8,5,7,14,16,11,23,21,15,.,.,0,58,67,32.3,43.2,45.7,53.8,30.9,42.8,44.3,52.6,"(CONTRACTS OF AUD 100,000)",232741,CME ,232,F10,Combined
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,299741,CME ,0,99,28787,0,9567,0,11060,4209,2859,479,4649,1196,800,0,0,16394,22480,12393,6307,21,0,0,0,103,12,175,0,-113,0,0,0,0,278,74,-257,-53,100,0,33.2,0,38.4,14.6,9.9,1.7,16.1,4.2,2.8,0,0,56.9,78.1,43.1,21.9,23,0,.,0,11,5,7,.,.,.,.,0,0,17,14,22,53.8,36.4,70,21.7,52.2,32.9,62.7,"(CONTRACTS OF EUR 125,000)",299741,CME ,99,F10,Combined
EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,399741,CME ,0,99,26859,1444,1593,0,7061,17298,2249,7054,1545,0,0,975,0,17808,23660,9051,3199,3362,0,400,0,33,3201,-2,3487,0,0,0,0,0,3518,3599,-156,-237,100,5.4,5.9,0,26.3,64.4,8.4,26.3,5.8,0,0,3.6,0,66.3,88.1,33.7,11.9,29,.,.,0,7,11,5,4,.,0,0,.,0,18,16,32.5,55.9,48.2,70.8,31.8,50,45.9,64.2,"(CONTRACTS OF EUR 125,000)",399741,CME ,99,F10,Combined
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,89741,CME ,0,89,45994,412,22381,0,33087,0,0,8305,21003,0,1448,1125,0,43252,44509,2742,1485,1632,-39,83,0,2265,0,0,-206,1102,0,-1,222,-95,1924,1312,-292,320,100,0.9,48.7,0,71.9,0,0,18.1,45.7,0,3.1,2.4,0,94,96.8,6,3.2,51,.,5,0,15,0,0,16,7,0,.,4,0,35,16,64.7,84.1,76.5,92,64.7,84.1,76.5,92,"(CONTRACTS OF RUB 2,500,000)",89741,CME ,89,F15,Combined
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,95741,CME ,0,95,147660,1580,92461,507,64488,7696,1372,65507,20414,990,4984,21554,0,139428,144993,8232,2667,2998,-1310,1835,0,1437,-255,265,1739,1641,39,389,106,0,2558,3630,440,-632,100,1.1,62.6,0.3,43.7,5.2,0.9,44.4,13.8,0.7,3.4,14.6,0,94.4,98.2,5.6,1.8,154,.,10,.,25,6,5,55,31,9,11,13,0,102,69,42.1,67.8,52.9,78.7,41.8,67.8,52.5,78.7,"(CONTRACTS OF MXN 500,000)",95741,CME ,95,F15,Combined
