period,UST 2Y NOTE - CHICAGO BOARD OF TRADE,UST 5Y NOTE - CHICAGO BOARD OF TRADE,UST 10Y NOTE - CHICAGO BOARD OF TRADE,ULTRA UST 10Y - CHICAGO BOARD OF TRADE,UST BOND - CHICAGO BOARD OF TRADE,ULTRA UST BOND - CHICAGO BOARD OF TRADE
2020/09/29,37.46,50.28,80.22,126.79,187.79,358
2020/10/06,37.46,50.28,80.22,126.79,187.79,358
2020/10/13,37.46,50.28,80.22,126.79,187.79,358
2020/10/20,37.46,50.28,80.22,126.79,187.79,358
2020/10/27,37.46,50.28,80.22,126.79,187.79,358
2020/11/03,37.46,50.28,80.22,126.79,187.79,358
2020/11/10,37.46,50.28,80.22,126.79,187.79,358
2020/11/17,37.46,50.28,80.22,126.79,187.79,358
2020/11/24,37.46,50.28,80.22,126.79,187.79,358
2020/12/01,37.46,50.28,80.22,126.79,187.79,358
2020/12/08,37.46,50.28,80.22,126.79,187.79,358
2020/12/15,37.46,50.28,80.22,126.79,187.79,358
2020/12/21,37.46,50.28,80.22,126.79,187.79,358
2020/12/29,37.46,50.28,80.22,126.79,187.79,358
2021/01/05,37.46,50.28,80.22,126.79,187.79,358
2021/01/12,37.46,50.28,80.22,126.79,187.79,358
2021/01/19,37.46,50.28,80.22,126.79,187.79,358
2021/01/26,37.46,50.28,80.22,126.79,187.79,358
2021/02/02,37.46,50.28,80.22,126.79,187.79,358
2021/02/09,37.46,50.28,80.22,126.79,187.79,358
2021/02/16,37.46,50.28,80.22,126.79,187.79,358
2021/02/23,37.46,50.28,80.22,126.79,187.79,358
2021/03/02,37.46,50.28,80.22,126.79,187.79,358
2021/03/09,37.46,50.28,80.22,126.79,187.79,358
2021/03/16,37.46,50.28,80.22,126.79,187.79,358
2021/03/23,37.46,50.28,80.22,126.79,187.79,358
2021/03/30,37.46,50.28,80.22,126.79,187.79,358
2021/04/06,37.46,50.28,80.22,126.79,187.79,358
2021/04/13,37.46,50.28,80.22,126.79,187.79,358
2021/04/20,37.46,50.28,80.22,126.79,187.79,358
2021/04/27,37.46,50.28,80.22,126.79,187.79,358
2021/05/04,37.46,50.28,80.22,126.79,187.79,358
2021/05/11,37.46,50.28,80.22,126.79,187.79,358
2021/05/18,37.47,50.31,80.15,126.4,186.32,352.5
2021/05/25,37.47,50.31,80.15,126.4,186.32,352.5
2021/06/01,37.47,50.31,80.15,126.4,186.32,352.5
2021/06/08,37.47,50.31,80.15,126.4,186.32,352.5
2021/06/15,37.47,50.31,80.15,126.4,186.32,352.5
2021/06/22,37.47,50.31,80.15,126.4,186.32,352.5
2021/06/29,37.47,50.31,80.15,126.4,186.32,352.5
2021/07/06,37.47,50.31,80.15,126.4,186.32,352.5
2021/07/13,37.47,50.31,80.15,126.4,186.32,352.5
2021/07/20,37.47,50.31,80.15,126.4,186.32,352.5
2021/07/27,37.47,50.31,80.15,126.4,186.32,352.5
2021/08/03,37.47,50.31,80.15,126.4,186.32,352.5
2021/08/10,37.47,50.31,80.15,126.4,186.32,352.5
2021/08/17,37.47,50.31,80.15,126.4,186.32,352.5
2021/08/24,37.47,50.31,80.15,126.4,186.32,352.5
2021/08/31,37.47,50.31,80.15,126.4,186.32,352.5
2021/09/07,37.47,50.31,80.15,126.4,186.32,352.5
2021/09/14,37.47,50.31,80.15,126.4,186.32,352.5
2021/09/21,37.47,50.31,80.15,126.4,186.32,352.5
2021/09/28,37.47,50.31,80.15,126.4,186.32,352.5
2021/10/05,37.44,50.17,79.76,125.48,184.2,346.37
2021/10/12,37.28,49.7,79.02,124.51,183.89,349.11
2021/10/19,37.28,49.7,79.02,124.51,183.89,349.11
2021/10/26,37.28,49.77,79.26,125.69,187.52,361.18
2021/11/02,37.38,50.09,80.04,127.11,190.41,365.57
2021/11/09,37.24,49.57,79.15,125.7,188.85,362.53
2021/11/16,37.29,49.67,79.18,125.67,187.65,362.81
2021/11/23,37.19,48.98,77.66,126.7,181.98,355.53
2021/11/30,37.19,49.22,78.68,129.32,187.57,371.79
2021/12/07,37.18,49.2,78.64,129.14,186.43,364.85
2021/12/14,37.12,48.96,77.75,126.81,179.92,347.63
2021/12/21,37.12,48.96,77.75,126.81,179.92,347.63
2021/12/28,37.12,48.96,77.75,126.81,179.92,347.63
2022/01/04,37.02,48.64,77.19,125.85,178.53,347.42
2022/01/11,36.96,48.6,77.15,125.85,178.48,341.29
2022/01/18,36.96,48.6,77.15,125.85,178.48,341.29
2022/01/25,36.84,48.44,76.95,125.55,178.35,346.15
2022/02/01,36.73,48.07,76.16,123.84,175,334.61
2022/02/08,36.56,47.82,75.84,123.42,173.91,330.75
2022/02/15,36.5,47.75,76.95,122.16,184.55,337.62
2022/02/22,36.5,47.81,77.11,122.48,185.4,338.21
2022/03/01,36.48,47.96,78.2,123.41,187.58,338.78
2022/03/08,36.19,47.15,75.72,119.95,181.43,321.78
2022/03/15,36.04,46.81,75.12,118.89,178.99,319.73
2022/03/23,35.7,45.67,72.79,113.21,169.5,304.14
2022/03/30,35.7,45.67,72.79,113.21,169.5,304.14
2022/04/05,35.7,45.67,72.79,113.21,169.5,304.14
2022/04/12,35.74,45.7,72.33,112.2,164.89,288.26
2022/04/19,35.55,45.32,71.56,111.05,163.5,286.73
2022/04/26,35.62,5.5,71.98,111.59,164.39,284.78
