"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,090741,CME ,00,090 ,  172517,    6873,   68355,    4871,   40918,   17802,    6564,   38962,   29324,   18199,   20138,    2462,     801,  137324,  148377,   35193,   24140,    7189,    1599,  -15267,    2043,   -8409,    7893,     552,   10107,    1568,    5070,     800,    1417,      59,   11821,    3335,   -4632,    3854,  100.0,    4.0,   39.6,    2.8,   23.7,   10.3,    3.8,   22.6,   17.0,   10.5,   11.7,    1.4,    0.5,   79.6,   86.0,   20.4,   14.0,    114,      9,      6,      8,     20,     12,      9,     27,     21,     21,     13,      5,.,     83,     71,    16.5,    36.3,    27.2,    46.4,    16.4,    35.7,    25.8,    44.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,092741,CME ,00,092 ,   51435,   28131,       0,     468,    3687,   15520,    1047,    6332,   10100,    1417,       0,       0,       0,   41082,   28552,   10353,   22883,    4048,    1907,       0,       4,    1118,     712,      17,     518,    1707,     212,       0,       0,       0,    3775,    2651,     273,    1397,  100.0,   54.7,    0.0,    0.9,    7.2,   30.2,    2.0,   12.3,   19.6,    2.8,    0.0,    0.0,    0.0,   79.9,   55.5,   20.1,   44.5,     42,      6,      0,.,      4,     15,      4,      9,      8,.,      0,      0,      0,     22,     30,    50.4,    19.0,    63.4,    28.2,    49.6,    18.8,    60.2,    27.8,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,096742,CME ,00,096 ,  320245,  132761,   31906,   15682,   34739,  128697,    6473,   68736,   56292,   34387,    5165,    7017,       0,  297943,  280455,   22302,   39790,   44768,   16937,   -5225,    7303,    -712,    7558,    2261,    2680,   13662,   15899,    1146,     202,       0,   45515,   41660,    -747,    3108,  100.0,   41.5,   10.0,    4.9,   10.8,   40.2,    2.0,   21.5,   17.6,   10.7,    1.6,    2.2,    0.0,   93.0,   87.6,    7.0,   12.4,    143,      9,      4,      7,     15,     37,     18,     20,     44,     21,      7,      7,      0,     79,    110,    43.6,    25.1,    56.3,    36.0,    42.6,    23.6,    55.3,    30.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,097741,CME ,00,097 ,  270132,  150009,    6669,    3699,   39651,  109783,    7109,   20431,   73019,   26127,     121,    1538,    1095,  248242,  229039,   21890,   41093,  -12728,  -16489,    3529,    -807,    1767,   -1750,   -1083,    2843,  -10672,    2174,     -21,     144,    -129,  -11746,   -8595,    -982,   -4133,  100.0,   55.5,    2.5,    1.4,   14.7,   40.6,    2.6,    7.6,   27.0,    9.7,    0.0,    0.6,    0.4,   91.9,   84.8,    8.1,   15.2,    136,     11,.,      7,     18,     31,     18,     20,     45,     23,.,      5,.,     82,    105,    49.6,    27.4,    62.6,    38.5,    49.2,    27.3,    62.1,    37.7,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,099741,CME ,00,099 ,  770417,   38749,  287515,   22419,  403607,  183080,   33687,   70888,   90281,   69977,   38341,   13839,    7082,  684749,  707881,   85668,   62536,   26598,    1640,   -1318,    3326,    2931,    4835,   -1831,    2318,   11838,    9743,    3173,     561,    -787,   20514,   26367,    6084,     231,  100.0,    5.0,   37.3,    2.9,   52.4,   23.8,    4.4,    9.2,   11.7,    9.1,    5.0,    1.8,    0.9,   88.9,   91.9,   11.1,    8.1,    354,     21,     14,     14,    106,     45,     50,     60,     52,     47,     40,     16,     12,    273,    204,    13.1,    35.1,    21.4,    45.6,    12.0,    34.9,    19.3,    44.5,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","Combined"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,232741,CME ,00,232 ,  162144,   38296,   15502,    2247,   45977,   61747,    2590,   35596,   43080,   10593,    1898,     949,      12,  137208,  136720,   24936,   25424,    3681,    3158,  -16831,     443,  -10186,    7772,    1198,   10227,    3021,    3487,     -74,     285,     -41,    8212,    -666,   -4531,    4347,  100.0,   23.6,    9.6,    1.4,   28.4,   38.1,    1.6,   22.0,   26.6,    6.5,    1.2,    0.6,    0.0,   84.6,   84.3,   15.4,   15.7,    102,     10,      4,      8,     17,     18,     12,     22,     25,     15,      4,.,.,     71,     67,    32.0,    44.2,    43.1,    54.9,    31.7,    44.0,    42.8,    52.9,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","Combined"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,299741,CME ,00,099 ,   31273,       0,    9277,       0,   13097,    7152,    3229,     973,    4855,    1110,       0,       0,       0,   18409,   25623,   12864,    5650,    -844,       0,    -911,       0,   -1302,    2557,      -1,      51,   -2350,      52,       0,       0,       0,   -1200,    -653,     356,    -191,  100.0,    0.0,   29.7,    0.0,   41.9,   22.9,   10.3,    3.1,   15.5,    3.5,    0.0,    0.0,    0.0,   58.9,   81.9,   41.1,   18.1,     33,      0,      5,      0,     15,      6,      7,.,      4,.,      0,      0,      0,     22,     21,    19.8,    49.4,    34.1,    63.4,    19.8,    49.0,    30.4,    61.7,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","Combined"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,399741,CME ,00,099 ,   22945,    8538,    1134,       0,    4583,   10104,    1390,       0,    5554,       0,       0,     645,       0,   14511,   18827,    8434,    4118,      53,    -407,     546,       0,     191,   -1364,     -10,       0,     673,       0,       0,       6,       0,    -226,    -149,     279,     202,  100.0,   37.2,    4.9,    0.0,   20.0,   44.0,    6.1,    0.0,   24.2,    0.0,    0.0,    2.8,    0.0,   63.2,   82.1,   36.8,   17.9,     23,.,.,      0,      5,     10,      5,      0,      4,      0,      0,.,      0,     11,     17,    53.9,    43.9,    61.1,    59.9,    53.5,    43.3,    57.2,    57.9,"(CONTRACTS OF EUR 125,000)","399741","CME ","099 ","F10","Combined"
"CHINESE RENMINBI-HK (CNH) - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,082744,CME ,00,082 ,    8464,       0,       0,       0,       0,     250,       0,    2322,    7436,     399,    4143,      66,      60,    6924,    8211,    1540,     253,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    0.0,    0.0,    0.0,    0.0,    3.0,    0.0,   27.4,   87.9,    4.7,   48.9,    0.8,    0.7,   81.8,   97.0,   18.2,    3.0,     24,      0,      0,      0,      0,.,      0,      5,      6,      5,     11,.,.,     21,      9,    45.6,    86.0,    64.7,    95.5,    42.5,    85.1,    61.6,    91.6,"(CONTRACTS OF 100,000 USD)","082744","CME ","082 ","F15","Combined"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,095741,CME ,00,095 ,  159208,     937,   89493,    1747,   83215,    3877,    1223,   60500,   24161,    2129,    2368,   32914,     147,  152266,  155691,    6942,    3517,   -8528,     271,   -1749,     230,    -422,    -221,     466,   -8262,   -7547,       4,     -91,    -105,      36,   -7768,   -8887,    -760,     359,  100.0,    0.6,   56.2,    1.1,   52.3,    2.4,    0.8,   38.0,   15.2,    1.3,    1.5,   20.7,    0.1,   95.6,   97.8,    4.4,    2.2,    159,      4,     10,.,     27,     11,      5,     49,     28,      8,      9,     21,.,    100,     78,    39.7,    49.4,    52.9,    72.1,    39.5,    49.4,    52.5,    71.4,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","Combined"
