"WHEAT-SRW - CHICAGO BOARD OF TRADE",220426,2022-04-26,001602,CBT ,00,001 ,  431253,  115733,   89418,  132079,  150713,  173021,  398526,  394518,   32728,   36735,    9611,    3553,    3526,       1,    3623,    4167,    7177,    7694,    2434,    1917,  421642,  115211,   88922,  129048,  147090,  168854,  391349,  386824,   30294,   34818,  -53351,   -6297,   -4551,  -38752,   -5120,   -8207,  -50169,  -51510,   -3182,   -1840,  100.0,   26.8,   20.7,   30.6,   34.9,   40.1,   92.4,   91.5,    7.6,    8.5,  100.0,   37.0,   36.7,    0.0,   37.7,   43.4,   74.7,   80.1,   25.3,   19.9,  100.0,   27.3,   21.1,   30.6,   34.9,   40.0,   92.8,   91.7,    7.2,    8.3,    348,    111,     82,    127,    104,    126,    288,    275,     82,     19,     12,      1,     25,     29,     45,     42,    347,    111,     84,    125,     96,    125,    279,    273,    16.0,    13.9,    26.6,    21.6,    13.4,     8.7,    22.5,    14.7,    41.6,    48.9,    55.9,    61.6,    41.6,    47.2,    54.7,    59.3,    16.3,    14.3,    27.2,    22.1,    13.7,     8.9,    23.0,    15.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",220426,2022-04-26,001612,CBT ,00,001 ,  195409,   63354,   21646,   36998,   71531,  116744,  171884,  175389,   23525,   20020,    4307,    1112,     256,       1,    2262,    3279,    3375,    3536,     932,     771,  191102,   63170,   22318,   36069,   69269,  113465,  168509,  171853,   22593,   19249,  -16096,     -72,    3905,  -12881,   -2145,   -4982,  -15097,  -13958,    -998,   -2138,  100.0,   32.4,   11.1,   18.9,   36.6,   59.7,   88.0,   89.8,   12.0,   10.2,  100.0,   25.8,    5.9,    0.0,   52.5,   76.1,   78.4,   82.1,   21.6,   17.9,  100.0,   33.1,   11.7,   18.9,   36.2,   59.4,   88.2,   89.9,   11.8,   10.1,    232,     71,     37,     60,     81,    103,    182,    175,     57,     10,      3,      1,     20,     25,     31,     29,    232,     69,     39,     58,     78,    102,    177,    174,    15.2,    21.8,    25.2,    31.7,    13.7,    18.3,    22.3,    25.9,    48.1,    37.8,    63.6,    62.9,    39.4,    34.5,    53.1,    56.8,    15.5,    22.1,    25.8,    32.0,    14.0,    18.6,    22.8,    26.6,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",220426,2022-04-26,001626,MGE ,00,001 ,   73326,   24849,    1433,    2480,   30075,   58745,   57403,   62657,   15922,   10669,   39528,   14992,    1042,     696,   14660,   32270,   30348,   34009,    9180,    5519,   33798,   10176,     710,    1465,   15415,   26474,   27056,   28649,    6743,    5150,   -4287,   -1582,      53,   -1179,   -1865,   -2882,   -4626,   -4008,     340,    -279,  100.0,   33.9,    2.0,    3.4,   41.0,   80.1,   78.3,   85.5,   21.7,   14.5,  100.0,   37.9,    2.6,    1.8,   37.1,   81.6,   76.8,   86.0,   23.2,   14.0,  100.0,   30.1,    2.1,    4.3,   45.6,   78.3,   80.1,   84.8,   19.9,   15.2,    106,     27,     10,      9,     52,     51,     85,     64,    103,     29,      8,      4,     38,     43,     68,     54,     85,     19,      6,      7,     39,     41,     61,     51,    18.0,    34.1,    28.1,    52.6,    11.7,    31.0,    20.8,    45.0,    27.5,    36.9,    40.0,    54.8,    27.5,    36.3,    39.9,    54.2,    20.3,    40.0,    34.8,    58.0,    18.4,    38.6,    31.6,    56.0,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"CORN - CHICAGO BOARD OF TRADE",220426,2022-04-26,002602,CBT ,00,002 , 2157559,  526693,   62359,  601155,  818991, 1245644, 1946840, 1909159,  210719,  248400, 1213891,  343153,   92714,  278141,  488719,  731741, 1110013, 1102596,  103878,  111295,  943668,  242719,   28824,  263836,  330272,  513903,  836827,  806562,  106841,  137106, -205682,  -11285,    4586,  -94410,  -81367, -103903, -187061, -193726,  -18621,  -11957,  100.0,   24.4,    2.9,   27.9,   38.0,   57.7,   90.2,   88.5,    9.8,   11.5,  100.0,   28.3,    7.6,   22.9,   40.3,   60.3,   91.4,   90.8,    8.6,    9.2,  100.0,   25.7,    3.1,   28.0,   35.0,   54.5,   88.7,   85.5,   11.3,   14.5,    910,    271,    104,    217,    393,    475,    744,    726,    827,    216,    111,    166,    339,    434,    628,    643,    746,    182,     80,    131,    280,    419,    506,    588,    13.2,    13.3,    21.6,    21.2,     9.4,     9.3,    15.2,    14.1,    13.6,    12.1,    23.1,    20.2,    12.1,    10.3,    19.6,    16.5,    16.5,    16.4,    25.3,    24.5,    10.2,     9.2,    16.6,    13.9,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 "
"SOYBEANS - CHICAGO BOARD OF TRADE",220426,2022-04-26,005602,CBT ,00,005 ,  904744,  228294,   43629,  228396,  386663,  544511,  843352,  816536,   61392,   88208,  466376,  145622,   43203,   95226,  191090,  292322,  431938,  430751,   34438,   35625,  438369,  108034,   25789,  107807,  195573,  252189,  411415,  385785,   26954,   52584, -100274,   -7073,    1990,  -63974,  -23814,  -34554,  -94860,  -96537,   -5414,   -3737,  100.0,   25.2,    4.8,   25.2,   42.7,   60.2,   93.2,   90.3,    6.8,    9.7,  100.0,   31.2,    9.3,   20.4,   41.0,   62.7,   92.6,   92.4,    7.4,    7.6,  100.0,   24.6,    5.9,   24.6,   44.6,   57.5,   93.9,   88.0,    6.1,   12.0,    636,    217,     86,    188,    228,    286,    513,    511,    584,    181,     92,    117,    185,    253,    413,    425,    507,    134,     88,    112,    165,    243,    349,    398,    10.7,    14.4,    19.1,    23.1,     8.4,     9.4,    13.8,    13.9,    13.3,    18.6,    23.7,    26.8,    12.7,    15.5,    22.2,    22.1,    13.2,    17.4,    23.0,    26.3,    11.0,    13.8,    18.3,    18.8,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"MINI SOYBEANS - CHICAGO BOARD OF TRADE",220426,2022-04-26,005603,CBT ,00,005 ,   26903,   18478,     668,     202,      74,    9655,   18754,   10525,    8149,   16378,    5044,    3569,     137,     113,      74,     849,    3756,    1099,    1288,    3945,   21859,   14960,     582,      38,       0,    8806,   14998,    9426,    6861,   12433,   -3131,   -2934,      19,      23,      -4,      85,   -2915,     127,    -216,   -3258,  100.0,   68.7,    2.5,    0.8,    0.3,   35.9,   69.7,   39.1,   30.3,   60.9,  100.0,   70.8,    2.7,    2.2,    1.5,   16.8,   74.5,   21.8,   25.5,   78.2,  100.0,   68.4,    2.7,    0.2,    0.0,   40.3,   68.6,   43.1,   31.4,   56.9,     27,      5,      2,      3,      2,     20,      7,     25,     27,      5,      2,      1,      2,     20,      7,     23,     27,      4,      3,      2,      0,     20,      4,     25,    67.4,    18.2,    69.7,    25.4,    66.8,    18.2,    68.7,    25.4,    73.0,     9.0,    74.5,    14.1,    70.7,     8.2,    71.8,    13.0,    68.6,    21.1,    68.6,    29.0,    68.4,    21.1,    68.4,    29.0,"(Contracts of 1,000 Bushels)","005603","CBT ","005 "
"NJ SRECS - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063CC,IFED,01,006 ,  193469,   77170,   15155,    8615,  107684,  169699,  193469,  193469,       0,       0,  193469,   77170,   15155,    8615,  107684,  169699,  193469,  193469,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   39.9,    7.8,    4.5,   55.7,   87.7,  100.0,  100.0,    0.0,    0.0,  100.0,   39.9,    7.8,    4.5,   55.7,   87.7,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,     10,      3,      4,     15,     13,     27,     18,     35,     10,      3,      4,     15,     13,     27,     18,      0,      0,      0,      0,      0,      0,      0,      0,    57.0,    87.3,    80.4,    96.3,    57.0,    84.9,    80.0,    90.2,    57.0,    87.3,    80.4,    96.3,    57.0,    84.9,    80.0,    90.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 "
"PJM TRI-RECs CLASS 1 - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063CH,IFED,01,006 ,  250923,   56872,   69649,   13770,  180259,  167399,  250901,  250818,      22,     105,  250923,   56872,   69649,   13770,  180259,  167399,  250901,  250818,      22,     105,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     661,     584,      72,    -106,     183,     695,     661,     661,       0,       0,  100.0,   22.7,   27.8,    5.5,   71.8,   66.7,  100.0,  100.0,    0.0,    0.0,  100.0,   22.7,   27.8,    5.5,   71.8,   66.7,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     43,      9,      6,     11,     21,     12,     35,     26,     43,      9,      6,     11,     21,     12,     35,     26,      0,      0,      0,      0,      0,      0,      0,      0,    42.3,    66.6,    64.0,    85.0,    41.6,    65.7,    60.8,    78.8,    42.3,    66.6,    64.0,    85.0,    41.6,    65.7,    60.8,    78.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063CH","IFED","006 "
"CALIF CARBON 21 - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063CJ,IFED,01,006 ,    2010,     457,     688,       9,    1472,    1252,    1938,    1949,      72,      61,    2010,     457,     688,       9,    1472,    1252,    1938,    1949,      72,      61,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       5,       0,       0,       0,       0,      -6,       0,      -6,       5,      11,  100.0,   22.7,   34.2,    0.4,   73.2,   62.3,   96.4,   97.0,    3.6,    3.0,  100.0,   22.7,   34.2,    0.4,   73.2,   62.3,   96.4,   97.0,    3.6,    3.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      5,      4,      1,      8,      7,     14,     11,     22,      5,      4,      1,      8,      7,     14,     11,      0,      0,      0,      0,      0,      0,      0,      0,    57.8,    78.7,    81.2,    94.2,    57.8,    78.2,    81.0,    93.8,    57.8,    78.7,    81.2,    94.2,    57.8,    78.2,    81.0,    93.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063CJ","IFED","006 "
"CALIF CARBON 22 - ICE FUTURES ENERGY DIV",220426,2022-04-26,0063D9,IFED,01,006 ,  217813,  115428,   67218,   41607,   60393,  108785,  217428,  217610,     385,     203,  217813,  115428,   67218,   41607,   60393,  108785,  217428,  217610,     385,     203,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    7620,     952,    -108,    2172,    4617,    5462,    7741,    7526,    -121,      94,  100.0,   53.0,   30.9,   19.1,   27.7,   49.9,   99.8,   99.9,    0.2,    0.1,  100.0,   53.0,   30.9,   19.1,   27.7,   49.9,   99.8,   99.9,    0.2,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    131,     74,     22,     38,     31,     27,    116,     76,    131,     74,     22,     38,     31,     27,    116,     76,      0,      0,      0,      0,      0,      0,      0,      0,    35.4,    24.6,    52.5,    43.7,    28.4,    22.2,    43.9,    40.2,    35.4,    24.6,    52.5,    43.7,    28.4,    22.2,    43.9,    40.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063D9","IFED","006 "
